STATION_CODE,STATION_NAME,DIVISION,ZONE,DISTRICT,STATE,WORKING HOURS FROM,WORKING HOURS TO,TERMINAL TYPE,AVG. RAKES HANDLING,LINE COUNT,HANDLING TYPE,WAREHOUSE_AVAILABLE (YES/NO),OWNER,ASSOCIATED WEIGHBRIDGE,ALTERNATE WEIGHBRIDGE,TANK HANDLING (YES/NO),LATITUDE,LONGITUDE
BPTG,GRAIN DEPOT,BPT,BPT,MUMBAI,MAHARASHTRA,,,PRVT-SDNG,9.4,,,,,,,,18.979312,72.854188
BPTV,VICTORIA DOCK BPT RLY,BPT,BPT,MUMBAI,MAHARASHTRA,00:00,23:59,PRVT-SDNG,5.7,,,,,,,,18.950721,72.845697
C,KIDDERPORE DOCKS,CPT,CPT,KOLKATA,WEST BENGAL,,,PRVT-SDNG,9.0,,,,,,,,22.53639722,88.31575833
BCCK,M/S BULK CEMENT CORPORATION LTD. SDG KALAMBOLI,BB,CR,RAIGAD,MAHARASHTRA,00:00,23:59,PRVT-SDNG,4.5,4.0,MANUAL,N,CWC,KLMG,,N,19.034696,73.114529
BIRD,BHIVANDI ROAD,BB,CR,THANE,MAHARASHTRA,06:00,18:00,GOODS-SHED,1.5,,,,,,,,19.26839467,73.046771
BRSG,"BHARAT PETROLEUM CORPORATION SIDING, TROMBAY",BB,CR,MUMBAI,MAHARASHTRA,07:45,23:45,PRVT-SDNG,9.8,2.0,MANUAL,N,BPCL,BRSG,,Y,19.023498,72.925358
CCIK,M/S COTTON CORPN. OF INDIAN LTD. SIDING KLMI,BB,CR,RAIGAD,MAHARASHTRA,,,PRVT-SDNG,7.2,2.0,,Y,IR,,,N,19.0328,73.1012
CRTK,TURBHE CONTAINER DEPOT,BB,CR,THANE,MAHARASHTRA,,,PRVT-SDNG,1.5,2.0,MANUAL,Y,CONR,CRTK,,N,19.07595832,73.01779656
CWJC,CENTRAL WAREHOUSING CORP. SIDING,BB,CR,RAIGAD,MAHARASHTRA,,,PRVT-SDNG,7.7,,,,,,,,18.93787,73.027925
DRTA,DRONAGIRI RAIL TERMINAL,BB,CR,RAIGAD,MAHARASHTRA,00:00,23:59,PRVT-SDNG,1.3,3.0,MANUAL,N,CONR,JNPT,,N,18.8575,72.9364
FZSG,"RASTRIYA CHEMICAL SIDING, TROMBAY",BB,CR,MUMBAI,MAHARASHTRA,00:00,23:59,PRVT-SDNG,9.3,15.0,MANUAL,N,IR,FZSG,,N,19.023498,72.925358
JNPT,JAWAHAR LAL NEHRU PORT,BB,CR,RAIGAD,MAHARASHTRA,06:00,22:00,PRVT-SDNG,3.4,10.0,MECHANICAL,N,CONR,JNPT,,Y,18.9008,72.98
JSWD,M/S JSW STEEL LTD.,BB,CR,RAIGAD,MAHARASHTRA,,,PRVT-SDNG,4.5,3.0,MECHANICAL,Y,JSWD,JSWD,,N,18.739419,73.087492
JSWV,M/S JSW STEEL COATED PRODUCTS LTD.,BB,CR,THANE,MAHARASHTRA,,,PRVT-SDNG,2.5,2.0,MANUAL,N,JSWV,JSWV,,N,19.406212,73.267479
KFCG,"FOOD CORPN. OF INDIA SDG, KALAMBOLI EXCHANGE YARD",BB,CR,RAIGAD,MAHARASHTRA,06:00,22:00,PRVT-SDNG,4.1,6.0,MANUAL,Y,FCI,KFCG,,N,19.034696,73.114529
KLMG,KALAMBOLI GOODS,BB,CR,RAIGAD,MAHARASHTRA,06:00,22:00,GOODS-SHED,5.6,9.0,MANUAL,N,IR,KLMG,,N,19.03419383,73.1146025
